S, 5, 9, 7, 1, 8, X, 4, 4, 8, 7, 8, 5, 2, 4, 7, 4, 9, 2, 4
7, 5, 7, 9, 6, 9, X, 2, 6, 4, 1, 7, 5, 6, 7, 2, 9, 8, 3, 4
2, 5, 2, 8, X, X, 2, 1, 6, 3, 5, 1, 3, 6, 8, 5, G, 1, 6, 9
5, 6, 7, 4, 2, 2, 4, 2, 3, 8, 7, 2, 3, X, 2, 4, 2, X, 1, 2
X, X, 2, 8, 4, 4, 8, 9, 8, 9, 4, 6, 9, 3, 4, 5, 9, X, 2, 2
5, 2, 7, 1, 8, 5, 5, 1, 6, 8, 7, 4, 6, 9, 2, 2, 8, 8, 7, 2
8, 7, 8, X, 8, X, 9, 7, 2, 6, 2, 5, X, 8, 8, 7, 8, 1, 1, 4
8, 3, 7, 7, 4, X, X, 7, 6, 6, 8, 8, X, 6, 1, 6, 4, 5, 6, 4
5, 7, 8, 8, 5, 5, 5, 8, 1, 1, 7, 4, 4, 1, 7, 4, 7, 4, 3, 2
9, 3, 1, X, X, X, 6, 3, 3, 6, 5, 5, 3, 4, 7, 6, 5, 8, 2, 6
